PlotID,SubPlot,Tree_tag,Species,Tree_class,DBH,Height,Crown_base_height,Notes
WCF_1,A2,102,Bl,1,4.4,3.3,2,falling scars
WCF_1,A2,103,Bl,1,3.9,2,1.6,falling scars
WCF_1,A2,104,Bl,2,0.8,1.4,0.8,falling scars
WCF_1,A2,105,Bl,1,3.8,2.9,1.3,"falling scars, broken top"
WCF_1,A2,106,Bl,1,1.4,1.5,0.8,falling scars
WCF_1,A2,107,Bl,1,4.4,3,0,
WCF_1,A2,108,Bl,1,2.2,1.9,0.7,
WCF_1,A2,109,Bl,1,4.6,2.6,0.8,
WCF_1,A2,110,Sx,2,6.1,2.7,0.5,
WCF_1,A2,111,Bl,4,1.7,1.5,0.5,
WCF_2,A2,112,Pl,1,0.6,1.4,0.2,
WCF_2,A2,113,Pl,1,1,1.7,0.3,
WCF_2,A2,114,Pl,1,0.4,1.4,0.2,
WCF_2,A2,115,Sx,1,0.6,1.5,0.2,
WCF_2,A2,116,Pl,1,0.7,1.5,0.2,
WCF_2,A2,117,Pl,1,1.2,1.8,0.2,
WCF_2,A2,118,Pl,1,1.4,2,0.2,
WCF_2,A2,119,Pl,1,0.6,1.4,0.2,
WCF_2,A2,120,Pl,1,2.1,2.1,0.1,
WCF_2,A2,121,Pl,1,0.5,1.3,0.2,
WCF_2,A2,122,Pl,1,1.4,2,0.2,
WCF_2,A2,123,Pl,1,1.6,2,0.2,
WCF_2,A2,124,Sx,1,2.5,2.5,0.1,
WCF_2,A2,125,Pl,1,1.1,1.6,0.3,
WCF_2,A2,126,Pl,1,1.6,2,0.2,
WCF_2,A2,127,Pl,1,0.9,1.6,0.1,
WCF_2,A2,128,Pl,1,0.9,1.5,0.1,
WCF_2,A2,129,Sx,1,2.5,2.8,0.07,
WCF_2,A2,130,Sx,1,2,2.2,0.08,
WCF_2,A2,131,Pl,1,1.1,1.7,0.07,
WCF_2,A2,132,Pl,1,1,1.5,0.08,
WCF_2,A2,133,Sx,1,1,1.6,0.06,
WCF_2,A2,134,Sx,1,1.1,2,0.1,
WCF_2,A2,135,Pl,1,6.1,4,0.2,
WCF_2,A2,136,Pl,2,2.9,2.3,0.4,dying of warrens root collar weavil
WCF_2,A2,137,Pl,1,1.9,1.9,0.1,
