PlotID,Sub-plot,Tree_tag,Species,Tree_class,DBH,Height,Crown_base_height,Fire_scars,Insects,Notes
WCF_1,B1,101,Bl,1,17.3,15,1.6,N,N,
WCF_2,B1,NA,NA,NA,NA,NA,NA,NA,NA,NO TREES
WCF_3,B1,NA,NA,NA,NA,NA,NA,NA,NA,NO TREES
WCF_4,B1,NA,NA,NA,NA,NA,NA,NA,NA,NO TREES
WCF_5,B1,180,Pl,4,19.9,2.8,NA,N,N,MPB
WCF_5,B1,182,Pl,4,29.2,3.6,NA,N,N,MPB
WCF_6,B1,NA,NA,NA,NA,NA,NA,NA,NA,NO TREES
WCF_7,B1,NA,NA,NA,NA,NA,NA,NA,NA,NO TREES
WCF_8,B1,NA,NA,NA,NA,NA,NA,NA,NA,NO TREES
WCF_9,B1,NA,NA,NA,NA,NA,NA,NA,NA,NO TREES
