PlotID,Transect,Tag_number,Species,Location,Diam_cm,Decay_class,Height_above_ground_cm,Length_m,Notes
WCF_1,1,401,Bl,3.6,8.4,2,7,7,
WCF_1,1,402,Pl,6,12.7,2,20,10.8,
WCF_1,1,403,Pl,10.2,8.1,2,5,1.1,
WCF_1,1,404,U,16.8,31.2,5,0,4.5,half in ground
WCF_1,1,405,Bl,19.4,16.3,3,17,5,
WCF_1,1,406,Pl,22.3,9.9,3,14,2,
WCF_1,1,407,UC,25.7,10,3,0,1,
WCF_1,1,408,UC,27.9,11.3,3,0,0.7,
WCF_1,1,409,Bl,37.3,8.7,2,0,2.6,
WCF_1,1,410,Pl,42,8.7,2,0,4.6,
WCF_1,2,411,U,26.9,17,3,0,3.6,
WCF_1,2,412,Pl,34.5,15.8,3,0,6.3,
WCF_1,2,413,UC,36.5,15.1,3,0,1.3,
WCF_1,2,414,Bl,36.9,21.3,3,30,9.8,
WCF_1,2,415,UC,38.5,15.3,3,10,0.9,
WCF_1,2,416,Bl,40.6,13.9,2,0,13.5,
WCF_1,2,417,Bl,45.1,26.5,1,NA,0.45,stump
WCF_1,2,418,Pl,49.6,12.2,2,13,3.5,
WCF_2,1,419,Pl,3.2,12.3,3,7,1.5,
WCF_2,1,420,Pl,5.3,16.4,3,0,1.5,
WCF_2,1,421,Pl,5.5,13.4,3,6,1.3,burned
WCF_2,1,422,Pl,6.3,11.6,3,0,0.7,burned
WCF_2,1,423,Pl,6.8,20.5,3,0,1,burned
WCF_2,1,424,Pl,9.6,11.7,3,0,1.1,burned
WCF_2,1,425,Pl,11.1,10.3,3,0,1.2,half of piece
WCF_2,1,426,Pl,11.2,12.6,3,0,0.6,burned
WCF_2,1,427,Pl,11.8,17,3,0,2.1,
WCF_2,1,428,Pl,13.7,8.1,3,0,2.5,
WCF_2,1,429,Bl,15.3,12.2,3,18,2.4,
WCF_2,1,430,UC,15.8,14,4,0,0.6,
WCF_2,1,431,UC,17.1,15.4,4,0,1.3,
WCF_2,1,432,UC,19.8,31.2,3,0,4.5,exploded open
WCF_2,1,433,UC,30.9,19.1,5,0,2.4,half in ground
WCF_2,1,434,Pl,39.9,13.3,3,27,1.5,
WCF_2,1,435,Pl,41.7,8.6,3,20,2.5,
WCF_2,1,436,Pl,45.5,11.2,2,0,0.9,
WCF_2,1,437,UC,46.8,17,5,0,1.7,
WCF_2,2,438,UC,0,11.7,3,0,5.4,
WCF_2,2,439,Pl,0.6,11,3,16,13,
WCF_2,2,440,Pl,1.1,11.4,3,22,7.4,
WCF_2,2,441,Pl,1.6,9.5,3,8,5.3,
WCF_2,2,442,Pl,3,8.6,3,12,14,
WCF_2,2,443,U,4.9,24.6,3,17,9.8,
WCF_2,2,444,Pl,5.3,16.7,3,15,15.6,
WCF_2,2,445,Sx,7.8,30,3,38,19.5,
WCF_2,2,446,Bl,8.8,14.3,3,0,9.3,
WCF_2,2,447,Bl,9.6,14.5,3,28,12.4,
WCF_2,2,448,Bl,11.6,8.6,3,0,6.4,
WCF_2,2,449,Bl,11.7,10.3,3,6,3.5,
WCF_2,2,450,Bl,12.4,7.7,2,6.5,4.7,
WCF_2,2,451,Bl,14.4,18.4,3,7.5,4.6,
WCF_2,2,452,Sx,15.3,21,3,0,3.3,
WCF_2,2,453,UC,16.2,11.5,4,0,1.1,
WCF_2,2,454,Bl,17.3,11,3,0,1.4,
WCF_2,2,455,UC,17.6,10.6,3,0,0.4,
WCF_2,2,456,Bl,16.6,10.5,3,0,2.9,
WCF_2,2,457,Bl,16.9,10.8,3,0,0.9,
WCF_2,2,458,Bl,19.2,10,3,0,1.7,
WCF_2,2,459,Bl,19.7,12,3,0,5,
WCF_2,2,460,Bl,20.7,9,3,0,2.4,
WCF_2,2,461,Bl,21.6,7.7,3,7,2.7,
WCF_2,2,462,Bl,26.4,9.3,3,4,1,
WCF_2,2,463,Sx,30.4,14.5,3,0,8,
WCF_2,2,464,Pl,33.8,12.9,3,20,11.5,
WCF_2,2,465,UC,37.1,7.7,3,0,1,
WCF_2,2,467,Sx,40.1,10.1,3,0,1.8,
WCF_2,2,468,Sx,40.5,11.8,3,15,3.3,
WCF_2,2,469,Pl,43.9,11.4,3,13,2.7,
WCF_2,2,470,Sx,44.4,10.4,3,0,7,
WCF_2,2,471,Bl,44.9,10.8,3,30,7,
WCF_2,2,472,Bl,45.3,17.3,3,12,11.8,
WCF_2,2,473,Sx,45.7,19,4,0,3.2,
WCF_2,2,474,UC,47,12.9,3,15,1.4,
WCF_2,2,475,Sx,47.7,13,3,3,1.6,
WCF_2,2,476,UC,48.4,10.2,3,7,1.1,
WCF_2,2,477,Sx,49,11.1,3,11,2.7,
WCF_2,2,478,Sx,49.5,9.4,3,0,2.3,
WCF_3,1,479,Bl,7.1,9.4,3,0,10.3,
WCF_3,1,480,At,9,17.2,3,8,10.2,
WCF_3,1,481,Sx,11.6,60,3,NA,9.5,stump
WCF_3,1,482,UC,12.4,8.2,3,0,1.3,
WCF_3,1,483,Bl,37,17.1,3,0,2.3,
WCF_3,1,484,Bl,42.1,30,2,NA,0.2,stump
WCF_3,1,485,Bl,42.8,9.6,2,10,7.9,
WCF_3,1,486,Pl,43.4,7.6,3,1,1.1,
WCF_3,1,487,Bl,48.5,20.6,3,0,0.5,
WCF_3,2,488,Sx,8.6,13,2,0,0.9,
WCF_3,2,489,Bl,12.2,16.1,2,0,0.3,
WCF_3,2,490,Bl,21.7,12.6,2,0,4.7,maybe root
WCF_3,2,491,Bl,23.9,11.3,3,14,1.1,
WCF_3,2,492,UC,41.2,9.5,3,10.1,2,
WCF_3,2,493,Bl,42.6,18.5,2,9,13.8,
WCF_3,2,494,UC,45.2,31.4,3,0,4.5,
WCF_4,1,496,UC,17.6,17.2,3,10,7,
WCF_4,1,497,Bl,17.9,10.5,2,15,1.7,
WCF_4,1,498,Bl,19.3,13.9,3,27,5,
WCF_4,1,499,UC,25.3,11.6,4,0,5.7,
WCF_4,1,500,UC,29.3,15.1,3,0,6.4,
WCF_4,1,602,Pl,39,14,2,23,9.3,
WCF_4,2,603,Pl,5,18.4,3,0,2,
WCF_4,2,604,Pl,6.4,16.7,3,6,7.8,
WCF_4,2,605,UC,6.6,17.4,4,0,3.6,
WCF_4,2,606,UC,7,18.3,4,0,3.3,
WCF_4,2,607,UC,8.7,13.5,4,0,0.8,
WCF_4,2,608,UC,12.9,11.9,4,0,2.9,
