PlotID,Transect,Diam_class,Location,Tally
WCF_1,1,1.1-2.5,0-5,0
WCF_1,1,2.6-5,0-5,2
WCF_1,1,5.1-7.5,0-5,2
WCF_1,1,1.1-2.5,45-50,0
WCF_1,1,2.6-5,45-50,1
WCF_1,1,5.1-7.5,45-50,2
WCF_1,2,1.1-2.5,0-5,0
WCF_1,2,2.6-5,0-5,0
WCF_1,2,5.1-7.5,0-5,0
WCF_1,2,1.1-2.5,45-50,3
WCF_1,2,2.6-5,45-50,5
WCF_1,2,5.1-7.5,45-50,5
WCF_2,1,1.1-2.5,0-5,0
WCF_2,1,2.6-5,0-5,1
WCF_2,1,5.1-7.5,0-5,0
WCF_2,1,1.1-2.5,45-50,4
WCF_2,1,2.6-5,45-50,2
WCF_2,1,5.1-7.5,45-50,8
WCF_2,2,1.1-2.5,0-5,3
WCF_2,2,2.6-5,0-5,4
WCF_2,2,5.1-7.5,0-5,1
WCF_2,2,1.1-2.5,45-50,17
WCF_2,2,2.6-5,45-50,4
WCF_2,2,5.1-7.5,45-50,4
WCF_3,1,1.1-2.5,0-5,7
WCF_3,1,2.6-5,0-5,2
WCF_3,1,5.1-7.5,0-5,1
WCF_3,1,1.1-2.5,45-50,8
WCF_3,1,2.6-5,45-50,8
WCF_3,1,5.1-7.5,45-50,0
WCF_3,2,1.1-2.5,0-5,8
WCF_3,2,2.6-5,0-5,1
WCF_3,2,5.1-7.5,0-5,1
WCF_3,2,1.1-2.5,45-50,4
WCF_3,2,2.6-5,45-50,1
WCF_3,2,5.1-7.5,45-50,1
WCF_4,1,1.1-2.5,0-5,5
WCF_4,1,2.6-5,0-5,1
WCF_4,1,5.1-7.5,0-5,0
WCF_4,1,1.1-2.5,45-50,2
WCF_4,1,2.6-5,45-50,0
WCF_4,1,5.1-7.5,45-50,0
WCF_4,2,1.1-2.5,0-5,4
WCF_4,2,2.6-5,0-5,0
WCF_4,2,5.1-7.5,0-5,0
WCF_4,2,1.1-2.5,45-50,1
WCF_4,2,2.6-5,45-50,1
WCF_4,2,5.1-7.5,45-50,2
WCF_5,1,1.1-2.5,0-5,12
WCF_5,1,2.6-5,0-5,1
WCF_5,1,5.1-7.5,0-5,2
WCF_5,1,1.1-2.5,45-50,0
WCF_5,1,2.6-5,45-50,1
WCF_5,1,5.1-7.5,45-50,1
WCF_5,2,1.1-2.5,0-5,1
WCF_5,2,2.6-5,0-5,3
WCF_5,2,5.1-7.5,0-5,1
WCF_5,2,1.1-2.5,45-50,0
WCF_5,2,2.6-5,45-50,2
WCF_5,2,5.1-7.5,45-50,0
WCF_6,1,1.1-2.5,0-5,2
WCF_6,1,2.6-5,0-5,2
WCF_6,1,5.1-7.5,0-5,2
WCF_6,1,1.1-2.5,45-50,3
WCF_6,1,2.6-5,45-50,2
WCF_6,1,5.1-7.5,45-50,0
WCF_6,2,1.1-2.5,0-5,8
WCF_6,2,2.6-5,0-5,5
WCF_6,2,5.1-7.5,0-5,4
WCF_6,2,1.1-2.5,45-50,6
WCF_6,2,2.6-5,45-50,5
WCF_6,2,5.1-7.5,45-50,1
WCF_7,1,1.1-2.5,0-5,27
WCF_7,1,2.6-5,0-5,11
WCF_7,1,5.1-7.5,0-5,5
WCF_7,1,1.1-2.5,45-50,1
WCF_7,1,2.6-5,45-50,3
WCF_7,1,5.1-7.5,45-50,1
WCF_7,2,1.1-2.5,0-5,0
WCF_7,2,2.6-5,0-5,0
WCF_7,2,5.1-7.5,0-5,0
WCF_7,2,1.1-2.5,45-50,8
WCF_7,2,2.6-5,45-50,5
WCF_7,2,5.1-7.5,45-50,0
WCF_8,1,1.1-2.5,0-5,9
WCF_8,1,2.6-5,0-5,5
WCF_8,1,5.1-7.5,0-5,6
WCF_8,1,1.1-2.5,45-50,0
WCF_8,1,2.6-5,45-50,11
WCF_8,1,5.1-7.5,45-50,3
WCF_8,2,1.1-2.5,0-5,15
WCF_8,2,2.6-5,0-5,8
WCF_8,2,5.1-7.5,0-5,0
WCF_8,2,1.1-2.5,45-50,9
WCF_8,2,2.6-5,45-50,3
WCF_8,2,5.1-7.5,45-50,1
WCF_9,1,1.1-2.5,0-5,1
WCF_9,1,2.6-5,0-5,2
WCF_9,1,5.1-7.5,0-5,0
WCF_9,1,1.1-2.5,45-50,2
WCF_9,1,2.6-5,45-50,1
WCF_9,1,5.1-7.5,45-50,0
WCF_9,2,1.1-2.5,0-5,2
WCF_9,2,2.6-5,0-5,4
WCF_9,2,5.1-7.5,0-5,1
WCF_9,2,1.1-2.5,45-50,2
WCF_9,2,2.6-5,45-50,0
WCF_9,2,5.1-7.5,45-50,0
